instancia;numero_execucoes;melhor_funcao_objetivo;media_funcao_objetivo;pior_funcao_objetivo;desvio_padrao_funcao_objetivo;media_numero_rotas;media_paradas_selecionadas;media_tempo_algoritmo_seg;media_tempo_total_rotas_seg;media_maior_tempo_rota_seg;melhor_seed
Adelaide;1;145,951000;145,951000;145,951000;0,000000;16,000000;21,000000;101,440233;18753,000000;2048,000000;2991312382
Bridgend;1;100299,461000;100299,461000;100299,461000;0,000000;11,000000;22,000000;19,893106;25902,000000;3586,000000;3062119789
Brisbane;1;319,400000;319,400000;319,400000;0,000000;22,000000;28,000000;114,060393;33063,000000;2146,000000;1228959102
Canberra;1;286,990000;286,990000;286,990000;0,000000;14,000000;31,000000;77,078986;24583,000000;3378,000000;1840268610
Cardiff;1;500075,860000;500075,860000;500075,860000;0,000000;5,000000;8,000000;38,366655;8763,000000;2280,000000;974319580
Edinburgh-1;1;1500147,262000;1500147,262000;1500147,262000;0,000000;19,000000;24,000000;198,487243;20707,000000;1833,000000;2967327842
Edinburgh-2;1;45,349000;45,349000;45,349000;0,000000;9,000000;12,000000;300,420156;8300,000000;1823,000000;2367878886
MiltonKeynes;1;105,186000;105,186000;105,186000;0,000000;8,000000;10,000000;34,837969;7832,000000;1350,000000;3088727057
Porthcawl;1;25,483000;25,483000;25,483000;0,000000;2,000000;3,000000;3,348668;2598,000000;1614,000000;3090095699
Suffolk;1;158,202000;158,202000;158,202000;0,000000;6,000000;21,000000;6,515794;12295,000000;3115,000000;2109339754
